Ocol,Data,Proprietar,Status,Nr Apv,Cod UP,Nume UP,Denumire APV,Suprafata totala act (ha),Tratament,Natura Produsului,Tehnologia exploatare,Data inventarierii,Anul Exploatarii,Accesibilitate,Procedeu,Ciocan forma,Ciocan nr,Stancarii,Arbori putregaiosi - nr,Arbori putregaiosi - volum (mc),Iescari - nr,Iescari - volum (mc),UA - denumire,Suprafata totala UA (ha),Suprafata parcursa (ha),Varsta (ani),Panta G,Semintis %,Semintis total,Compozitie,Inaltime semintis,Specia,Volum mediu arbore (mc),Nr arbori,Crestere,G1,G2,G3,M1,M2,M3,Ls,Lemn de lucru (mc),Coaja (mc),Lemn de foc total (mc),Varfuri (mc),Volum brut (mc),dt,dcg,ht,hc
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Garnita (S),0.21,89,0.0,0.0,0.0,0.0,0.06,0.44,0.55,0.32,1.37,0.36,13.62,0.71,15.35,17.24,17.24,14.35,14.35
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Fag,0.23,3,0.0,0.0,0.03,0.0,0.02,0.01,0.0,0.0,0.06,0.01,2.23,0.04,2.3,19.0,19.0,11.0,11.0
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Jugastru,0.2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.0,0.24,0.02,0.27,20.0,20.0,10.0,10.0
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Carpen,0.15,22,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.02,0.09,0.01,1.55,0.06,1.65,16.0,16.0,13.5,13.5
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Gorun (S),0.3,4554,0.0,0.0,24.35,0.0,71.04,142.25,103.77,33.47,374.88,73.55,875.46,112.02,1323.89,19.47,22.12,17.16,17.16
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Mojdrean,0.06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.12,0.01,0.13,12.0,12.0,9.0,9.0
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Cires,0.37,174,0.0,0.0,2.06,0.0,1.43,1.35,0.71,0.12,5.67,0.69,46.03,1.98,52.39,22.59,22.61,15.83,15.83
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Stejar rosu,0.3,19,0.0,0.0,0.15,0.0,0.27,0.28,0.28,0.14,1.12,0.15,3.94,0.28,5.21,20.29,20.29,16.57,16.57
OCOLUL SILVIC STOICENI,24.07.2025,Ocolul Silvic Stoiceni,Autorizat,2500156206770,2,Budesti,1089 Dealul Boului,31.96,T. produse accidentale II,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,24.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS326,0.0,28,5.48,877,192.21,72 C,31.96,31.96,59,10,0.0,0.0,0,0.0,Ulm de camp,0.02,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,8.0,8.0,7.0,7.0
